iter	F1	Logloss
291	1	6.414690521e-06
292	1	6.891527679e-06
293	1	6.831925828e-06
294	1	6.35508867e-06
295	1	6.35508867e-06
296	1	6.35508867e-06
297	1	5.818650126e-06
298	1	6.295487285e-06
299	1	6.295487285e-06
300	1	6.295487285e-06
301	1	6.295487285e-06
302	1	6.235884968e-06
303	1	5.75904781e-06
304	1	6.235884968e-06
305	1	5.75904781e-06
306	1	5.75904781e-06
307	1	5.75904781e-06
308	1	5.75904781e-06
309	1	5.75904781e-06
310	1	5.75904781e-06
311	1	5.75904781e-06
312	1	5.75904781e-06
313	1	5.75904781e-06
314	1	5.75904781e-06
315	1	5.75904781e-06
316	1	5.75904781e-06
317	1	5.75904781e-06
318	1	5.75904781e-06
319	1	5.75904781e-06
320	1	5.75904781e-06
321	1	5.75904781e-06
322	1	5.75904781e-06
323	1	5.75904781e-06
324	1	5.75904781e-06
325	1	5.75904781e-06
326	1	5.75904781e-06
327	1	5.75904781e-06
328	1	5.75904781e-06
329	1	5.75904781e-06
330	1	5.75904781e-06
331	1	5.75904781e-06
332	1	5.75904781e-06
333	1	5.75904781e-06
334	1	5.75904781e-06
335	1	5.75904781e-06
336	1	5.75904781e-06
337	1	5.75904781e-06
338	1	5.75904781e-06
339	1	5.75904781e-06
340	1	5.75904781e-06
341	1	5.75904781e-06
342	1	5.75904781e-06
343	1	5.75904781e-06
344	1	5.75904781e-06
345	1	5.75904781e-06
346	1	5.75904781e-06
347	1	5.75904781e-06
348	1	5.75904781e-06
349	1	5.75904781e-06
350	1	5.75904781e-06
351	1	5.75904781e-06
352	1	5.75904781e-06
353	1	5.75904781e-06
354	1	5.75904781e-06
355	1	5.75904781e-06
356	1	5.75904781e-06
357	1	5.75904781e-06
358	1	5.75904781e-06
359	1	5.75904781e-06
360	1	5.75904781e-06
361	1	5.75904781e-06
362	1	5.75904781e-06
363	1	5.75904781e-06
364	1	5.75904781e-06
365	1	5.75904781e-06
366	1	5.75904781e-06
367	1	5.75904781e-06
368	1	5.75904781e-06
369	1	5.75904781e-06
370	1	5.75904781e-06
371	1	5.75904781e-06
372	1	5.75904781e-06
373	1	5.75904781e-06
374	1	5.75904781e-06
375	1	5.75904781e-06
376	1	5.75904781e-06
377	1	5.75904781e-06
378	1	5.75904781e-06
